epoch,train_dice,train_miou,val_dice,val_miou
1,0.7010585766624311,0.526429162430891,0.7774125589818773,0.6112808201231033
2,0.7812094224137714,0.6349300651707688,0.781221333949105,0.6266470116756584
3,0.7868075260645954,0.6368602275755095,0.7952028126306457,0.6438868383465073
4,0.7854430943562452,0.6341606524633437,0.7882584650701727,0.6450707388908559
5,0.795784884911953,0.6485578565488515,0.8050016011751018,0.6521933031309546
6,0.8072038112273615,0.6645802557777358,0.8112765224419168,0.6754532678047832
7,0.8009586157164184,0.6597258235400113,0.8067547183137672,0.6610489421806434
8,0.8045394990303225,0.6596670587504025,0.8087444786269017,0.6670855428165008
9,0.8025807336304422,0.6594828124345224,0.8078977023447264,0.6669525004020691
10,0.812204600932995,0.6732602055695969,0.8018895063150592,0.6634923858589813
11,0.8031170905673602,0.6639538374503614,0.7962053855159725,0.663371484734949
12,0.8136440961845398,0.6748506008166879,0.8005937667742428,0.6668036588792048
13,0.8129334578324829,0.6738882041364364,0.8023283945562678,0.6700393545948071
14,0.8143428573741277,0.6716707160547741,0.7991574167307293,0.6643352137609053
15,0.8177868322885615,0.6743405369962359,0.8070406954801598,0.6707470031429299
16,0.8132902025980503,0.6766137879439065,0.8130915728751681,0.6726672337917814
17,0.8063793735840131,0.6630151243414675,0.8136151544256572,0.6713058650898578
18,0.7974428073057891,0.6557501292810577,0.7928129508882288,0.6601062126786628
19,0.8177066280571574,0.6813717036414673,0.8072772744419542,0.6719266982209942
20,0.8192114515856355,0.6763175626768942,0.8121738822970809,0.6693493973597908
21,0.8096471592414767,0.6675926667058052,0.8104484704330462,0.674947625427504
22,0.8127781246030652,0.6698519555772358,0.8118177758505757,0.6760559451868251
23,0.8255815441464954,0.6910272163501092,0.801551003137007,0.6639729960914202
24,0.82068827106732,0.6818194145627459,0.8031554229182404,0.6609208636571415
25,0.8130854640654003,0.6704488484332523,0.807610060843384,0.6603828768496092
26,0.8278378256828471,0.6895734843107534,0.8065505035607433,0.6733627769209212
27,0.8188917738131924,0.682047779136181,0.8008569043669368,0.666193469790196
28,0.8243366676199414,0.6887246740929862,0.8025166714380642,0.6669078888728749
29,0.8328920952516959,0.6975513721042842,0.8014583909774635,0.6676958574639782
30,0.8073315616695326,0.6652630112109246,0.8133634024711749,0.6729148846172502
31,0.8135636499266579,0.6799820162632961,0.8055337659559295,0.6727143493875252
32,0.821011964024865,0.6889269710286676,0.8026624069555447,0.6669696621609942
33,0.818429322608359,0.6842484359721075,0.7830077363979695,0.6534221912052187
34,0.8258643585493666,0.6867901140183739,0.8019672199909819,0.6656055177539187
35,0.8150610265733957,0.6716323545533133,0.787946114079485,0.6555801379160064
36,0.8197936900738848,0.6786223118045769,0.8057947663034835,0.6694504971408859
37,0.8172729924710495,0.6796095289125429,0.803214356866487,0.6673432634446332
