epoch,train_dice,train_miou,val_dice,val_miou
1,0.5341931292147946,0.3439517366727272,0.6885834188193602,0.3271100623470086
2,0.5778828249082644,0.40713673540622036,0.6939467193621622,0.37442284678037663
3,0.6341967422785809,0.43434639209077974,0.6949401101968297,0.4036185558384968
4,0.6063483553713545,0.42308913407119886,0.6838140879387227,0.4136735319874667
5,0.6411009054015958,0.43707549510250243,0.7000940669802233,0.4711382693537664
6,0.6368691358986213,0.43385570517482464,0.6563623283208707,0.48173601714584674
7,0.6204237991366334,0.4340616850839668,0.5810884821780076,0.3796070082692548
8,0.6321090939695387,0.4439050283338517,0.615146972799064,0.43709375289168784
9,0.6307697585353772,0.44567057020810363,0.6336550363854031,0.4455341019972997
10,0.653462313899898,0.4564933231368671,0.6068035995716791,0.4027222626799455
11,0.6338294580400532,0.4458257191491999,0.6067539573969123,0.42740022782114484
12,0.6474356768000503,0.4519619945539302,0.6029316404433186,0.43740958647269224
13,0.6500994907175119,0.46360255308710896,0.615042965856728,0.43862888265109207
14,0.6492471723782569,0.4619157392806069,0.5719162724760954,0.3961210937199857
15,0.6474815715443917,0.4456937229456534,0.6679235802730472,0.4440398972957411
16,0.6319164342969404,0.4367982933892943,0.6701568543162855,0.46194847104031256
17,0.6521651923265396,0.4600585670327425,0.6273040967251475,0.44054859879798103
18,0.6363609093581556,0.44907499505990023,0.560060569816515,0.41570968635774475
19,0.6640794077097849,0.4733080302019297,0.6680134372357687,0.4351675665978083
20,0.6542289354476155,0.4672748254994276,0.6842070172514376,0.47497142023697775
21,0.6681669694534483,0.47084791636539336,0.6671345218324246,0.4673250054958704
22,0.6680994747154234,0.482639446710853,0.6366437496863552,0.44322840682629605
23,0.6586097551312056,0.47473113405051837,0.6509115900620223,0.4397067124452432
24,0.6707611261270743,0.4671830320448789,0.6435492186078483,0.45397859501189175
25,0.6641478521499875,0.47164235656617026,0.6480452845994173,0.44790768016061755
26,0.6549838007595478,0.4689471868179754,0.642525294239108,0.41847465234879316
27,0.6737650471879503,0.47038107148543973,0.660277477366128,0.4633724289548692
28,0.6586834042884134,0.4785931458282467,0.6525600426513191,0.47097343347599985
29,0.6782767371271322,0.4805632909443899,0.6100739661435408,0.41808709710639225
30,0.6587744433513926,0.4616766533898983,0.6346261788459486,0.4035495302224549
31,0.6486236198263012,0.4719235581583326,0.6521938649440503,0.4472130232881181
32,0.6395965267150435,0.46047810434446346,0.6972266799861866,0.4927151267352273
33,0.6475080474721311,0.4566204006673973,0.49739958186371924,0.3852062692008458
34,0.6501421683108463,0.45496565106327025,0.670301276307711,0.4095199890319591
35,0.653773823086357,0.46790588382561793,0.5690889591409004,0.41926105101191113
36,0.666618156431525,0.46068483453710507,0.6555791084845208,0.4501860324817953
37,0.6672757841876331,0.4749789900215632,0.6509962100450204,0.4274256372531635
38,0.6666563749813463,0.4802668037279139,0.6615478416297293,0.4200930788727384
39,0.6626757657412086,0.4733864475185089,0.6405118432492779,0.4537724936255245
40,0.6576985382479343,0.4711518141767256,0.6676599116404149,0.4589011421602308
41,0.6560137633169372,0.47741747653956057,0.6961470850651502,0.4751514342142944
42,0.6456432732155605,0.4520072618396155,0.6370320008433431,0.41694702917828896
43,0.6664285332994104,0.47169257737543985,0.6349231752220844,0.4257988802719933
44,0.677406118288662,0.47904502913959196,0.6421097116188481,0.4070462431615338
45,0.6753444144218489,0.4817780797900889,0.7005725635604341,0.429186585291226
46,0.6554161746340663,0.45185952300507976,0.7100062026494174,0.4722578943446277
47,0.6625915248698511,0.47371982947879837,0.6594581155424415,0.4380269411078287
48,0.6503016272081407,0.4527634269789389,0.643744536505644,0.4259395509459475
49,0.6543028809252166,0.46076281211616743,0.6341288274035927,0.4376565481997079
50,0.6524819311077735,0.46451391760925287,0.6435695358827812,0.4382038179007459
1,0.6679058835204473,0.4799140406692435,0.6703150045380626,0.4484078406494759
2,0.6772327733652723,0.484461443705252,0.6387374349747722,0.4617124210113954
3,0.6971190417657211,0.49495640352080894,0.6465521065285085,0.45859906927734695
4,0.654169696930863,0.45986865342271516,0.6261716902437976,0.46019303476584716
5,0.6456927569882558,0.4669521508392305,0.6498094643639284,0.4352409360662678
6,0.6674098181685467,0.47101845570558604,0.658984018988113,0.45550257077738177
7,0.6554271443545219,0.46907334050434535,0.6897941494171197,0.44211024316430286
8,0.6298869940277215,0.45231141135752206,0.6501484260428461,0.4148110701929952
9,0.6639876342564174,0.46797815800316284,0.5749900920917631,0.41909561150696517
10,0.6728761085886111,0.4931262606861582,0.6032366575105516,0.43743193405633407
11,0.6851449972119684,0.4862261876774502,0.650446506009757,0.46255833341085995
12,0.6702811646845094,0.487209143903922,0.653041209169196,0.4318265923901055
13,0.6358285630206764,0.4598322765136156,0.4330375023715665,0.3558115131061801
14,0.6434964509106604,0.46505826382681636,0.5843767383867771,0.3963737489359286
15,0.64301452085736,0.4549222290743201,0.5545126658370421,0.38024307878539726
16,0.6554547270102945,0.4665399311762337,0.6459970652901706,0.42830546015585574
17,0.6779087521400894,0.4811705044853895,0.6849235309542964,0.4413995579712155
18,0.6527063121396791,0.47489422554287586,0.6016304831673598,0.4116743897952988
19,0.6629597242830204,0.4703793031210412,0.6190298573737589,0.39666296850838223
20,0.6733895742256898,0.47112443888556466,0.6083811899058182,0.43221304095159074
21,0.6904282602757584,0.4983513198207405,0.6365119376066752,0.4142942784820521
22,0.6489422672483698,0.46393957666666585,0.696226057361681,0.48190245027815504
23,0.6971001477598459,0.501057649895005,0.6874234773010519,0.4371190730095864
24,0.657099166817042,0.4501097014164072,0.6407919967892022,0.4422157886726786
25,0.6547328642225688,0.4729161010723003,0.5789431476359267,0.443128841290227
26,0.6509338003005182,0.4722424865238155,0.6201818639745621,0.4443006860074441
27,0.6635201324879517,0.48051391252453146,0.6868669199945683,0.4620028623893152
28,0.6618810112705784,0.4776249344211215,0.624052965110377,0.3947705040700378
29,0.6770040378021596,0.4809801788225291,0.6838470667834999,0.43907459711726726
30,0.6633812208649429,0.4853881206992846,0.6484556493451864,0.4018942467059585
31,0.6507152990086597,0.4776675803172854,0.6479011067853825,0.4259391354406976
32,0.6529971925011481,0.46906531479726377,0.7075125674920871,0.49357281129247477
33,0.6686242527878067,0.4872844144490004,0.6573991359483032,0.4386411662723355
34,0.6611371319875412,0.4766245496210432,0.6592550625417708,0.4191551287818778
35,0.6613889186314416,0.47563795600506875,0.6590865983620057,0.42125135417592735
36,0.6480690793361197,0.4681591452972938,0.6294233383322634,0.4503106310063044
37,0.6640606637283619,0.47624460218838444,0.6988598135871467,0.46409253777744225
38,0.6735896873261957,0.48941882230328043,0.6403634026612518,0.44587413957680605
39,0.6725271932485766,0.49332574765532644,0.6784656150771174,0.45882508985883697
40,0.6690117515254095,0.468577694414978,0.6338844522985166,0.4199460845024138
41,0.6945115973885371,0.5001618416977963,0.6409766648174546,0.4154902136438804
42,0.6716822848072147,0.4744477420893036,0.6593421049594845,0.4298021080631871
43,0.6619150241201531,0.48298593049761973,0.5451469029380588,0.37622338451831105
44,0.6841490876555104,0.49362285394642635,0.6232966452214316,0.4171383055748896
45,0.6701630214642526,0.48614019084697,0.651403866245157,0.40853557880442587
46,0.6666856769301658,0.4734871236502498,0.620710695993927,0.40557060557476554
47,0.6787035367728936,0.48539998988486144,0.6252544501710772,0.4113554443735064
48,0.671550562905938,0.48156661244456067,0.6813899748325264,0.41070652863059987
49,0.655521668923489,0.4729536173552794,0.6661083809543351,0.4855965098749855
50,0.6462743700151091,0.4558812599705875,0.6371531892358965,0.39458251906792985
1,0.6583405756916108,0.4783727217585092,0.6031571556745126,0.44503309280017833
2,0.6745268075754147,0.4896458868471423,0.6206127239243663,0.40425474533192934
3,0.6881625571581903,0.5001806003465157,0.6250249342856165,0.40169882422464076
4,0.6435686771338411,0.47032707669903895,0.6609571629038928,0.42073101555374615
5,0.6657788288357954,0.49428071067742674,0.7119551893813368,0.46845879191297274
6,0.6608289670248884,0.4830880074332319,0.5890020827958545,0.39386735364142983
7,0.6568089246596441,0.47062301119475636,0.7062858990915716,0.46730780045408093
8,0.6652882825319529,0.4699900069665716,0.6369938680915058,0.41832179002709985
9,0.683336147423058,0.498082844586384,0.6326545864835673,0.4205296774385382
10,0.6772977607729921,0.489124434269937,0.6639094214321194,0.4262635360020762
11,0.6655961688950125,0.47388374254417887,0.622798138749117,0.41284078069616054
12,0.6700535377307929,0.46905102556606837,0.6517902365801325,0.41960077640303406
13,0.6895247647470043,0.4973763037518596,0.6928354513353158,0.44038304688641294
14,0.6671848170194763,0.4750126796100796,0.6347513856055941,0.43652230852461604
15,0.6576367261522237,0.4688412961183033,0.6681515642045655,0.43303387959907225
16,0.6796675538264196,0.49146581851976423,0.5891981089416338,0.4119413571815619
17,0.6497758071409252,0.46639390757237204,0.654335154652045,0.443204993532611
18,0.6573876135189558,0.4860437766517095,0.6850634816701209,0.4597377935381116
19,0.6770729253845561,0.49173712311390905,0.6523831496914443,0.42650292811893453
20,0.6596253702149605,0.4761894766041478,0.6064197476420685,0.4494713440741659
21,0.6553441439128221,0.4583690351881967,0.6291476013077614,0.426951900772487
22,0.6697524437075121,0.4816247017805318,0.5970448512197077,0.3780316252747551
23,0.6467377522309838,0.46321822351647957,0.6868508732836739,0.4175589381700934
24,0.6579074012791479,0.46951399766649493,0.6209972444393297,0.43446590852291167
25,0.6692226422657618,0.4764847073167179,0.6406626453053831,0.44822816479028005
26,0.6702937085381241,0.48204357116506064,0.5899296133358172,0.4100918710870439
27,0.6844222763043825,0.5016733049602085,0.6114957733596259,0.40665680737332144
28,0.6641239925273107,0.48847723042329755,0.6785438908314134,0.4576322763027751
29,0.6684614683780085,0.4973205338561625,0.6743106514228225,0.4240828816915801
30,0.6597135382264538,0.4746738983241144,0.6914451274995471,0.41544439069488714
31,0.6764556634845459,0.49266620054949084,0.6167521879118174,0.40351142913341587
32,0.6829474259059585,0.48793852674977295,0.657274996395617,0.4146480113602081
33,0.6327845580863148,0.4591848921591862,0.6542084733564235,0.4193286075767879
34,0.6416529517652324,0.4636538159707065,0.6561815260261966,0.47399089625111446
35,0.6410191781354252,0.44973127230511234,0.5483308733876661,0.36242219801542036
36,0.66420461378161,0.4631295109449649,0.6749809753350815,0.45875960464224796
37,0.6749248103387888,0.49747104568857853,0.5976214774565615,0.3798504806019226
38,0.6576049278139405,0.474926635122529,0.6696272496461231,0.4282284509044903
